Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Togo,91,87,85,82,72,72,72,68,66,63,71,78,70,70,68,48,40,58,57,40,43,48,53,57,60,64,69,73,78,62,74,43,27,11,,,,
Tonga,85,84 84,85 85,85 85,86 86,81 81,85 85,86 86,87 87,89 89,90 90,90 90,92 92,93 93,93 93,85 85,89 89,92 92,95 95,95 95,97 97,95 95,94 94,86 86,87 87,87 87,90 90,86 86,84 84,81 81,88 88,37 37,81 81,43 43,67 67,44 44,9 9,
Trinidad and Tobago,93,86,89,96,91,85,92,92,94,91,91,89,93,95,88,87,91,90,88,90,88,88,84,86,87,83,93,70,59,72,68,42,32,10,,,,
Tunisia,98,96,98,98,94,96,96,97,98,98,98,98,96,95,90,94,92,95,90,94,92,92,91,91,92,94,94,93,93,87,81,67,65,55,42,43,,
Turkey,96,98,97,94,98,96,98,97,97,97,96,98,91,81,75,83,91,87,82,81,79,72,65,76,72,78,73,78,71,82,67,64,61,62,63,64,52,27
Turkmenistan,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,88,98,96,97,99,99,98,92,90,84,76,,,,,,,,,,,,
Tuvalu,95,96,94,94,96,98,98,85,90,93,95,84,62,97,95,99,99,81,94,96,99,94,94,79,64,66,63,95,79,90,65,65,92,71,65,,,
Uganda,80,80,80,85,84,83,75,73,77,70,75,75,68,66,64,62,59,57,55,50,54,55,57,59,57,56,54,52,51,49,38,27,17,18,20,21,22,
Ukraine,86,42,56,56,79,79,67,56,75,94,97,98,96,99,99,99,99,99,99,96,97,92,97,96,94,90,,,,,,,,,,,,
United Arab Emirates,99,99,99,99,98,96,95,94,93,92,92,92,92,94,94,94,94,94,96,95,95,90,90,90,90,85,82,80,78,74,71,67,60,53,51,41,42,34
United Kingdom of Great Britain and Northern Ireland,92,92,93,93,93,92,90,89,86,86,86,85,82,81,82,85,85,88,88,87,91,92,92,91,91,92,90,87,84,80,76,71,68,63,60,58,55,53
United Republic of Tanzania,99,90,99,99,99,97,93,92,91,88,90,93,91,94,97,89,86,78,72,72,73,78,78,79,77,81,79,80,79,83,78,97,66,55,60,50,51,46
United States of America,92,92,92,92,92,91,92,92,90,92,92,92,92,93,93,91,91,91,92,92,91,91,88,89,84,83,87,90,94,98,82,97,97,98,98,97,97,86
Uruguay,95,95,96,96,96,96,95,95,94,95,96,94,95,95,95,95,94,89,99,96,92,89,90,90,90,93,96,97,82,72,88,82,59,66,65,52,55,50
Uzbekistan,99,99,99,99,97,99,99,98,95,98,98,98,99,98,99,97,99,99,96,95,96,95,91,71,82,84,,,,,,,,,,,,
Vanuatu,80,84,76,90,84,79,75,70,65,61,56,52,53,55,56,58,59,61,62,64,65,61,60,53,74,66,63,66,50,46,34,22,26,18,23,20,,
Venezuela (Bolivarian Republic of),96,88,92,89,85,87,86,79,87,93,87,82,76,80,83,83,98,84,84,92,68,64,47,94,62,61,63,61,50,51,54,48,56,41,42,45,43,50
Viet Nam,97,99,97,97,98,96,96,98,97,92,83,93,95,97,93,96,98,97,94,96,96,96,95,96,93,90,88,88,76,56,36,39,19,4,3,1,,
Yemen,65,70,67,67,70,63,66,68,65,69,71,65,73,74,64,62,72,70,74,66,41,43,40,31,51,46,53,69,48,34,22,15,13,8,6,4,4,2
Zambia,96,93,90,85,80,82,83,96,90,87,93,85,85,85,84,84,84,85,85,86,86,86,86,96,91,85,80,90,80,80,80,58,58,57,56,,,
Zimbabwe,90,95,86,92,93,97,92,90,76,70,69,68,67,66,68,70,73,75,77,79,84,88,87,87,86,86,87,87,87,88,88,83,78,62,60,58,56,
